G1	G2	1
G1	G3	1
G1	G4	1
G1	G5	1
G1	G6	1
G4	G49	1
G4	G81	1
G4	G82	1
G7	G8	1
G8	G1	1
G8	G18	1
G8	G20	1
G8	G23	1
G8	G24	1
G8	G38	1
G8	G77	1
G8	G80	1
G9	G10	1
G9	G11	1
G9	G12	1
G12	G46	1
G13	G3	1
G13	G7	1
G13	G8	1
G13	G14	1
G13	G15	1
G13	G16	1
G13	G17	1
G13	G18	1
G13	G19	1
G13	G20	1
G13	G21	1
G13	G22	1
G13	G23	1
G13	G24	1
G13	G25	1
G13	G26	1
G17	G7	1
G17	G27	1
G17	G32	1
G17	G37	1
G17	G44	1
G17	G62	1
G17	G63	1
G17	G64	1
G22	G12	1
G22	G15	1
G22	G17	1
G22	G18	1
G22	G19	1
G22	G36	1
G22	G54	1
G22	G85	1
G22	G86	1
G22	G87	1
G22	G88	1
G23	G18	1
G26	G30	1
G26	G38	1
G26	G48	1
G26	G59	1
G26	G75	1
G26	G78	1
G26	G97	1
G27	G21	1
G27	G28	1
G27	G29	1
G27	G30	1
G27	G31	1
G27	G32	1
G27	G33	1
G27	G34	1
G27	G35	1
G29	G13	1
G29	G26	1
G29	G38	1
G29	G45	1
G29	G54	1
G29	G55	1
G29	G56	1
G29	G57	1
G29	G58	1
G29	G59	1
G29	G60	1
G29	G61	1
G34	G97	1
G35	G25	1
G35	G47	1
G35	G89	1
G36	G23	1
G36	G37	1
G36	G38	1
G38	G24	1
G38	G26	1
G38	G30	1
G38	G63	1
G38	G80	1
G38	G89	1
G39	G40	1
G40	G23	1
G41	G35	1
G41	G42	1
G43	G25	1
G44	G18	1
G44	G37	1
G45	G31	1
G45	G42	1
G45	G46	1
G45	G47	1
G45	G48	1
G45	G49	1
G45	G50	1
G51	G18	1
G51	G19	1
G51	G26	1
G51	G52	1
G51	G53	1
G64	G5	1
G64	G17	1
G64	G26	1
G64	G28	1
G64	G31	1
G64	G32	1
G64	G37	1
G64	G62	1
G64	G69	1
G64	G93	1
G64	G94	1
G64	G95	1
G64	G96	1
G65	G2	1
G65	G30	1
G65	G42	1
G65	G51	1
G65	G55	1
G65	G66	1
G65	G67	1
G65	G68	1
G65	G69	1
G65	G70	1
G65	G71	1
G71	G26	1
G71	G49	1
G71	G50	1
G71	G74	1
G71	G79	1
G71	G81	1
G71	G82	1
G71	G84	1
G71	G99	1
G71	G100	1
G72	G13	1
G72	G16	1
G72	G18	1
G72	G21	1
G72	G22	1
G72	G23	1
G72	G24	1
G72	G26	1
G72	G65	1
G72	G73	1
G74	G1	1
G74	G3	1
G74	G14	1
G74	G15	1
G74	G37	1
G74	G47	1
G74	G69	1
G74	G72	1
G74	G75	1
G74	G76	1
G74	G77	1
G74	G78	1
G74	G79	1
G79	G3	1
G79	G18	1
G79	G19	1
G79	G21	1
G79	G24	1
G79	G36	1
G79	G62	1
G79	G73	1
G79	G89	1
G79	G90	1
G83	G39	1
G83	G84	1
G91	G43	1
G91	G63	1
G92	G31	1
G92	G63	1
G98	G43	1
G98	G53	1
G98	G84	1
